District|block|cluster|school_code|school_name|moi|student_id|gender|dob|mother_tongue|class_section|assessment_name|programme_name|1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56
bangalore|bangalore south(banashankari)|konnana kunte|30377|GOTTIGERE|kannada|1631379|male|2005-03-24|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|0|1|1|1|1|0|1|1|1|1|1|0|1|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|0|0|1|1|0|0|0|0
bangalore|bangalore south(banashankari)|konnana kunte|30377|GOTTIGERE|kannada|1631377|male|2008-11-25|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|0|1|1|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|1|0|1|1|0|0|0|0
bangalore|bangalore south(banashankari)|konnana kunte|30377|GOTTIGERE|kannada|1631374|male|2008-09-09|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|0|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|0|0|0|1|1|1|1|1|1|0|0|1|0|1|1|0|0|0|0
bangalore|sumangali seva ashrama|kodihalli|30952|JEEVANBHIMANAGAR|kannada|1621657|female|2008-02-29|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|0|1|0|0|0|1|1|1|1|1|1|0|0|0|0|1|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
bangalore|sumangali seva ashrama|kodihalli|30952|JEEVANBHIMANAGAR|kannada|1621651|male|2007-01-30|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|0|0|0|0|0|1|0|1|1|1|0|0|1|1|1|1|1|0|0|1|0|0|1|1|1|1|1|1|1|0|0|0|0|1|1|1|1|0|0|0|0|0|0|0|00|0|0|0|0|0|0|0|0|0|0|0
bangalore|sumangali seva ashrama|kodihalli|30952|JEEVANBHIMANAGAR|kannada|1621653|male|2007-01-22|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|0|0|0|1|1|1|1|1|0|0|1|1|1|1|1|0|0|1|0|0|1|1|1|1|1|0|0|1|0|1|1|1|1|1|1|0|0|0|0|0|00|0|0|0|0|0|0|0|0|0|0|0|0|0
bangalore|bangalore south(banashankari)|konnana kunte|31062|DODDAKAMMANAHALLI|kannada|1630847|male|2008-10-03|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|0|0|0|1|1|0|1|0|0|1|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0
bangalore|bangalore south(banashankari)|konnana kunte|31062|DODDAKAMMANAHALLI|kannada|1630844|female|2007-10-16|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|1|1|1|1|0|0|0|1|1|0|0|0|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0
bangalore|bangalore south(banashankari)|konnana kunte|31062|DODDAKAMMANAHALLI|kannada|1630841|female|2007-12-08|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|0|1|1|1|0|0|0|0|1|0|0|0|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
bangalore|sumangali seva ashrama|kodihalli|30664|KODIHALLI|kannada|1452663|female|2007-01-26|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
bangalore|sumangali seva ashrama|kodihalli|30664|KODIHALLI|kannada|1452662|female|2006-10-31|tamil|Anganwadi Class|Pretest|Anganwadi Assessment|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1
bangalore|bangalore south(banashankari)|uttrahalli|31486|VAJARAHALLI(UTTRAHALLI)|kannada|1642383|male|2008-03-05|kannada|Anganwadi Class|Pretest|Anganwadi Assessment|1|0|1|1|0|1|1|1|0|0|0|0|1|1|0|0|0|1|0|1|0|0|1|1|1|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|1|1|0|0|1|0|0|1|1|0
